,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
376,LPTUSDT,1000BTTUSDT,0.03,-3.56,-3.37,11424.23,65
387,NEOUSDT,AKROUSDT,0.03,-3.59,-3.37,2379.02,50
395,ONTUSDT,SLPUSDT,0.0,-4.44,-3.37,67.07,50
879,XNOUSDT,LPTUSDT,0.04,-3.4,-3.37,0.08,49
290,BSVUSDT,AKROUSDT,0.0,-4.31,-3.37,13300.97,49
329,ETHUSDT,AKROUSDT,0.0,-5.8,-3.37,450766.11,48
388,ONTUSDT,1000BTTUSDT,0.01,-3.79,-3.37,273.12,46
331,ETHUSDT,ALICEUSDT,0.0,-5.71,-3.37,977.91,44
311,DODOUSDT,1000BTTUSDT,0.01,-4.04,-3.37,162.54,44
567,REQUSDT,MTLUSDT,0.02,-3.6,-3.37,0.11,43
822,VETUSDT,LPTUSDT,0.02,-3.74,-3.37,0.0,42
576,RSRUSDT,ADAUSDT,0.0,-4.53,-3.37,0.02,42
327,ETHUSDT,ADAUSDT,0.0,-5.54,-3.37,3984.19,42
628,STMXUSDT,1000BTTUSDT,0.01,-3.78,-3.37,8.37,42
25,1000BTTUSDT,ADAUSDT,0.01,-3.8,-3.37,0.0,42
675,SUNUSDT,CELUSDT,0.01,-3.94,-3.37,0.01,42
558,REQUSDT,LPTUSDT,0.0,-4.17,-3.37,0.01,42
35,1000XECUSDT,CTKUSDT,0.01,-3.91,-3.37,0.05,42
334,ETHUSDT,ANTUSDT,0.0,-5.14,-3.37,903.13,42
881,XNOUSDT,RUNEUSDT,0.03,-3.57,-3.37,0.48,42
47,1INCHUSDT,ICPUSDT,0.01,-3.9,-3.37,0.12,42
379,LPTUSDT,ADAUSDT,0.03,-3.55,-3.37,22.92,41
124,ANKRUSDT,STXUSDT,0.02,-3.75,-3.37,0.09,41
324,ETHUSDT,1INCHUSDT,0.0,-6.76,-3.37,2663.48,40
315,DODOUSDT,ADAUSDT,0.01,-4.09,-3.37,0.33,40
328,ETHUSDT,AGLDUSDT,0.0,-5.25,-3.37,4899.55,40
321,ETHUSDT,1000BTTUSDT,0.0,-6.66,-3.37,1985614.4,40
520,REQUSDT,ETHUSDT,0.01,-3.94,-3.37,0.0,40
838,WOOUSDT,FLOWUSDT,0.0,-4.36,-3.37,0.11,40
281,BALUSDT,ADAUSDT,0.01,-4.09,-3.37,16.64,39
378,LPTUSDT,AAVEUSDT,0.0,-4.94,-3.37,0.11,39
30,1000BTTUSDT,RVNUSDT,0.02,-3.6,-3.37,0.03,39
28,1000BTTUSDT,ICXUSDT,0.0,-4.14,-3.37,0.0,39
24,1000BTTUSDT,AAVEUSDT,0.02,-3.7,-3.37,0.0,39
312,DODOUSDT,1000XECUSDT,0.03,-3.55,-3.37,3.49,39
320,ETHUSDT,10000NFTUSDT,0.0,-5.21,-3.37,256020.77,38
326,ETHUSDT,ACHUSDT,0.0,-5.34,-3.37,136629.4,38
374,KNCUSDT,ADAUSDT,0.02,-3.66,-3.37,2.23,38
342,GLMRUSDT,ADAUSDT,0.0,-4.33,-3.37,1.17,38
874,XNOUSDT,DOTUSDT,0.0,-4.27,-3.37,0.11,38
333,ETHUSDT,ANKRUSDT,0.0,-5.67,-3.37,55459.66,38
32,1000BTTUSDT,SLPUSDT,0.0,-4.12,-3.37,0.25,38
596,RSRUSDT,GRTUSDT,0.03,-3.56,-3.37,0.08,38
631,STMXUSDT,ADAUSDT,0.01,-3.94,-3.37,0.02,38
323,ETHUSDT,1000XECUSDT,0.0,-6.06,-3.37,42637.25,38
325,ETHUSDT,AAVEUSDT,0.0,-6.72,-3.37,19.34,38
647,STMXUSDT,LOOKSUSDT,0.04,-3.46,-3.37,0.03,38
110,ALPHAUSDT,DOTUSDT,0.02,-3.66,-3.37,0.02,38
641,STMXUSDT,ETHUSDT,0.01,-3.98,-3.37,0.0,38
639,STMXUSDT,DODOUSDT,0.0,-4.88,-3.37,0.05,37
630,STMXUSDT,AAVEUSDT,0.0,-4.81,-3.37,0.0,37
314,DODOUSDT,AAVEUSDT,0.01,-4.1,-3.37,0.0,37
583,RSRUSDT,BCHUSDT,0.0,-5.06,-3.37,0.0,36
884,XNOUSDT,STXUSDT,0.02,-3.73,-3.37,2.36,36
120,ANKRUSDT,LPTUSDT,0.01,-3.82,-3.37,0.0,36
875,XNOUSDT,FLMUSDT,0.0,-4.75,-3.37,6.55,36
518,REQUSDT,EOSUSDT,0.04,-3.44,-3.37,0.1,36
581,RSRUSDT,BALUSDT,0.0,-4.33,-3.37,0.0,36
594,RSRUSDT,GLMRUSDT,0.0,-4.36,-3.37,0.01,36
20,10000NFTUSDT,XLMUSDT,0.03,-3.56,-3.37,0.06,36
764,USDCUSDT,ETHUSDT,0.0,-6.23,-3.37,0.0,36
39,1INCHUSDT,ADAUSDT,0.04,-3.42,-3.37,1.5,36
21,10000NFTUSDT,XRPUSDT,0.01,-3.96,-3.37,0.01,36
308,CROUSDT,AAVEUSDT,0.02,-3.6,-3.37,0.0,35
67,ACHUSDT,BITUSDT,0.0,-4.13,-3.37,0.03,35
870,XNOUSDT,AAVEUSDT,0.01,-3.82,-3.37,0.01,35
322,ETHUSDT,1000LUNCUSDT,0.0,-5.24,-3.37,6748.59,35
336,GLMRUSDT,1000BTTUSDT,0.01,-3.96,-3.37,583.26,34
298,BTCUSDT,ADAUSDT,0.0,-5.1,-3.37,50743.46,34
696,USDCUSDT,1000XECUSDT,0.0,-5.85,-3.37,26.27,34
