,NEOUSDT,AKROUSDT,Spread,Z-Score
39,8.74,0.003641,0.07798818,1.679994889
40,8.74,0.00363,0.1041574,1.805572605
41,8.7,0.003625,0.0760525,1.495943153
42,8.65,0.003579,0.13548742,1.95688189
43,8.69,0.003579,0.17548742,2.161192205
44,8.79,0.003641,0.12798818,1.645279096
45,8.57,0.003581,0.05072938,0.96308672
46,8.58,0.003598,0.02028604,0.674388829
47,8.56,0.00359,0.0193182,0.653924978
48,8.56,0.0036,-0.004472,0.453056548
49,8.56,0.003593,0.01218114,0.587173718
50,8.56,0.0036,-0.004472,0.451531693
51,8.59,0.003609,0.00411682,0.513221663
52,8.48,0.003583,-0.04402866,0.11275424
53,8.48,0.003561,0.00830978,0.521263516
54,8.46,0.00356,-0.0093112,0.371024012
55,8.43,0.003559,-0.03693218,0.132476291
56,8.46,0.003569,-0.03072238,0.173562591
57,8.49,0.003584,-0.03640768,0.104342725
58,8.37,0.003533,-0.03507766,0.076799693
59,8.43,0.00355,-0.015521,0.212275545
60,8.46,0.003551,0.01209998,0.416585057
61,8.46,0.003544,0.02875312,0.531809399
62,8.46,0.003554,0.00496292,0.273105889
63,8.38,0.00355,-0.065521,-0.486506595
64,8.45,0.00356,-0.0193112,-0.080934578
65,8.49,0.00355,0.044479,0.606803137
66,8.47,0.00354,0.0482692,0.618274428
67,8.48,0.003568,-0.00834336,-0.138937125
68,8.53,0.003561,0.05830978,0.70405216
69,8.57,0.003591,0.02693918,0.212624962
70,8.6,0.003603,0.02839094,0.185401264
71,8.58,0.003621,-0.03443142,-0.927985966
72,8.68,0.00365,-0.003423,-0.420003194
73,8.66,0.00363,0.0241574,0.045086783
74,8.64,0.003619,0.03032662,0.129784497
75,8.66,0.003622,0.04318956,0.333232465
76,8.65,0.003631,0.01177838,-0.260084804
77,8.63,0.003628,-0.00108456,-0.463039003
78,8.66,0.00363,0.0241574,0.057619211
79,8.62,0.003641,-0.04201182,-1.179667461
80,8.69,0.003642,0.02560916,0.190285688
81,8.66,0.003632,0.01939936,0.094595697
82,8.7,0.00364,0.0403672,0.630384975
83,8.78,0.003629,0.14653642,3.233100638
84,8.73,0.00363,0.0941574,2.104591534
85,8.73,0.003633,0.08702034,1.839392926
86,8.74,0.003633,0.09702034,1.935204472
87,8.77,0.003649,0.08895602,1.645840525
88,8.84,0.003651,0.15419798,2.716514771
89,8.83,0.003669,0.10137562,1.555336137
90,8.65,0.003632,0.00939936,-0.246564205
91,8.64,0.003642,-0.02439084,-0.885775854
92,8.7,0.003639,0.04274622,0.381366785
93,8.65,0.003669,-0.07862438,-1.883510091
94,8.62,0.003662,-0.09197124,-1.992463441
95,8.67,0.003621,0.05556858,0.615088214
96,8.79,0.003679,0.03758542,0.262092611
97,8.78,0.003671,0.04661758,0.394611057
98,8.85,0.00368,0.0952064,1.230007414
99,8.87,0.00367,0.1389966,1.889004177
100,8.91,0.003671,0.17661758,2.306685136
101,8.85,0.003691,0.06903718,0.516721276
102,8.77,0.003654,0.07706092,0.618051466
103,8.82,0.003678,0.06996444,0.463303948
104,8.72,0.003673,-0.01814046,-1.03745178
105,8.8,0.00368,0.0452064,0.041091727
106,8.81,0.00369,0.0314162,-0.186525583
107,8.84,0.003692,0.05665816,0.217558219
108,8.79,0.003681,0.03282738,-0.181058031
109,8.79,0.003692,0.00665816,-0.619686178
110,8.85,0.003709,0.02621482,-0.283858272
111,8.91,0.00369,0.1314162,1.439364104
112,8.76,0.003679,0.00758542,-0.677870071
113,8.68,0.00367,-0.0510034,-1.594965483
114,8.71,0.00368,-0.0447936,-1.422805638
115,8.73,0.00364,0.0703672,0.421781429
116,8.68,0.00365,-0.003423,-0.755881988
117,8.6,0.003619,-0.00967338,-0.850216432
118,8.67,0.0037,-0.132374,-2.512580163
119,8.58,0.003654,-0.11293908,-2.109692853
120,8.57,0.003632,-0.07060064,-1.443086655
121,8.61,0.003619,0.00032662,-0.470431735
122,8.61,0.003603,0.03839094,0.046987007
123,8.61,0.003601,0.04314898,0.15126643
124,8.66,0.003591,0.11693918,1.166750675
125,8.63,0.003581,0.11072938,1.064132432
126,8.57,0.003578,0.05786644,0.352154586
127,8.58,0.00358,0.0631084,0.43644625
128,8.6,0.003572,0.10214056,1.02647483
129,8.56,0.00357,0.0668986,0.538631091
130,8.5,0.00355,0.054479,0.34223969
131,8.58,0.003569,0.08927762,0.804937127
132,8.57,0.003559,0.10306782,0.97074753
133,8.49,0.00355,0.044479,0.092009908
134,8.46,0.00355,0.014479,-0.412113994
135,8.47,0.003541,0.04589018,0.081011284
136,8.42,0.003549,-0.02314198,-0.959515112
137,8.57,0.003584,0.04359232,0.069194142
138,8.6,0.003601,0.03314898,-0.068404034
139,8.57,0.003601,0.00314898,-0.497112209
140,8.67,0.003591,0.12693918,1.569754763
141,8.5,0.003614,-0.09777828,-2.006757121
142,8.54,0.00356,0.0706888,0.66916023
143,8.51,0.003581,-0.00927062,-0.57081228
144,8.48,0.00356,0.0106888,-0.266188481
145,8.48,0.00356,0.0106888,-0.252437063
146,8.49,0.003571,-0.00548042,-0.494972351
147,8.45,0.003551,0.00209998,-0.352795841
148,8.45,0.003539,0.03064822,0.104434144
149,8.46,0.003535,0.0501643,0.398621041
150,8.52,0.003522,0.14109156,1.732182807
151,8.5,0.003538,0.08302724,0.881515626
152,8.54,0.003528,0.14681744,1.75467449
153,8.54,0.003549,0.09685802,0.953968014
154,8.53,0.003542,0.10351116,1.00447787
155,8.5,0.003546,0.06399508,0.403766988
156,8.47,0.003541,0.04589018,0.108601374
157,8.5,0.00352,0.1258496,1.267302542
158,8.55,0.00355,0.104479,0.934247115
159,8.53,0.003548,0.08923704,0.659340012
160,8.55,0.003552,0.09972096,0.823818689
161,8.58,0.003561,0.10830978,0.943033114
162,8.58,0.00356,0.1106888,0.945205275
163,8.51,0.003565,0.0287937,-0.633884087
164,8.5,0.00358,-0.0168916,-1.434041793
165,8.41,0.003536,-0.00221472,-1.097065145
166,8.4,0.003531,-0.00031962,-1.019127737
167,8.44,0.00352,0.0658496,0.221660065
168,8.4,0.003515,0.0377447,-0.27829393
169,8.41,0.003521,0.03347058,-0.34326676
170,8.44,0.003529,0.04443842,-0.130739455
171,8.4,0.003541,-0.02410982,-1.351016673
172,8.41,0.003559,-0.05693218,-1.827402292
